twsentiment,text
positive,"The real winners in the #GOPDebate were the Jr. Debaters, who came across as far more intelligent than the brawling children later on."
neutral,"RT @harikondabolu: I'm missing the #GOPDebate. Did any of the ""candidates"" mention Abraham Lincoln being Republican because they think Blac…"
neutral,"@mitchellreports You do realize you are only talking about @realDonaldTrump all show, just look at the polls for your answer. #GOPDebate"
negative,RT @cabot_phillips: Marco Rubio is treating the other candidates like Drake treated Meek Mill #GOPDebate
neutral,"RT @michellemalkin: My fellow conservatives, 1 thing we can all agree on: Best thing about #gopdebate tonite will be: No Candy Crowley! htt…"
negative,"Where could I watch #GOPDebate again besides Fox?
Fox stream quality is terrible!"
negative,"Man, Rubio is a slide for ""best guest actor in a comedy"" next Emmy season. #GOPDebate"
neutral,"If the media is fawning over the fox moderators, conservatives should not #GOPDebate"
negative,Bill O'Reilly: Pandering O http://t.co/UoHxh0nrKZ  #1A☢#StopIran #GopDebate►http://t.co/ZWmstJJH16◄#19T$ #CruzCrew #rush #ycot #tiot #sot
negative,Catching up on #GOPDebate tweets. I feel like I missed a real cracker. #lolgop
negative,RT @whynotbecca: Tomorrow morning we all wake up and Ashton Kutcher pops out and tells us we've been Punk'd. #OMGOP #GOPDebate
neutral,A thing I apparently said during the #GOPDebate last night. https://t.co/kyLWwOJ8Oq
neutral,LIVE on #Periscope: .@randpaul speaking in Rock Hill SC the day after #gopdebate.  #decision2016  https://t.co/F0ckWeaTZ7
negative,"Here's what I know for sure about the #GOPDebate @ 5 &amp; 9, there were 16 people on stage that I am not voting for. #Outnumbered"
negative,"Chris Christie LIES:He was NOT appointed as a U.S. Attorney on the day b4 9/11 attacks. http://t.co/0uZmKVdWWT 
#GOPDebate"
negative,"RT @hemantmehta: Trump's idea of ""proof"" is to talk louder. #GOPDebate"
neutral,"PeacockPanache: Gov BobbyJindal Vows to Violate the #FirstAmendment If Elected President http://t.co/ZPl3z9WJpl
#UniteBlue #GOPDebate #LG…"
neutral,"timsimms: Gov BobbyJindal Vows to Violate the #FirstAmendment If Elected President http://t.co/ZPl3z9WJpl
#UniteBlue #GOPDebate #LGBT #p2…"
negative,"Yikes. @RandPaul, ""YOU GAVE OBAMA A BIG HUG!"" @ChrisChristie, ""I HUGGED 9/11 SURVIVORS!!!"" #GOPDebate #Dialogue"
negative,"@realDonaldTrump need to grow some thicker skin, the @FoxNews moderator are not the problem. #GOPDebate"
negative,"RT @STOPTHiS: And the big loser if tonights debate is:
Megan Kelly
Megan you insulted our intelligence tonight.

#KellyFile 
 #GOPDebate
#k…"
negative,The day after the #GOPDebate a man who is mean to everybody is complaining about everybody being mean to him. #TrumpTheWhiner
negative,"Most air time last night:
THE FOX MODERATORS
#GOPDebate
Really? Why would they make me see more of the fake @megynkelly?
That's just nasty."
neutral,RT @DesiJed: Hillary right now #GOPDebate http://t.co/mjsz7LWotz
positive,.@USAToday calls @GovMikeHuckabee debate closing a “show-stopping zinger” #ImWithHuck #GOPDebate
negative,"gop will keep looking inept next to trump until they can say, ""some of you people don't mean shit to me."" as well as he does #GOPDebate"
positive,Hoping that @marcorubio takes this country to places we haven't seen in decades! Keep up the good work! #GOPDebate
negative,Rush now mocking Megyn Kelly as self serving &amp
neutral,"RT @foxandfriends: .@marcorubio on small business: ""we have to repeal Dodd-Frank, it is eviscerating small business"" #GOPDebate"
negative,Here's why it was so frustrating to watch the #GOPDebate as a woman http://t.co/xXcH8PXagF
negative,#Carly puts the boys to shame. http://t.co/GwUMbzWD0W #GOPDebate
neutral,RT @MrGChristopher: lmao RT @Squintz1983 #GOPDebate pretty much https://t.co/OAQ5FcK1wB
neutral,"RT @politicoroger: Graham: ""If I am elected president I will send our soldiers back to Iraq and Afghanistan to defend this nation."" #GOPDeb…"
neutral,"Wish @GovernorPerry's ""oops"" moment from last night was as pronounced and amazing as the one from 2011. #GOPDebate"
neutral,The only proper attire for a #GOPDebate watch party with your… https://t.co/6ZpQrFsUhR
neutral,"THE TRUE AMERICAN FREEDOM
http://t.co/osTtQcrOY5 …

#GOPDebate Mc Donald's Walmart Wall Street Microsoft Sarah Palin http://t.co/kowIILTjRO"
neutral,New York Sun editorial | The Next Debate http://t.co/1UfbcPVT34 (via @NewYorkSun) #Constitution #GOPDebate #GOP
neutral,"CNN now has like 4 women acting as ""experts""  on the #Gopdebate :^)"
neutral,South Africa  RT' &amp
negative,"#RUSH:  ""#Fox moderators got 31% of airtime at #GOPDebate"""
neutral,#GOPDebate What candidates do you see standing out as a true constitutionalists and would support a #ConventionOfStates ?
negative,"RT @TheMorningSpew: Having watched the #GOPDebate, I can honestly say that I would vote for a rock before I would vote for any Democrat. So…"
positive,TRUMP WINS! He is FRONT PAGE - Every news source - Billions in FREE Advetising @realDonaldTrump #GOPDebate #Trump2016
neutral,So I'd say the Democrats won the #GOPDebate GG's Hillary and Bernie 👌
neutral,"Guys, I'm live tweeting my rewatching of the #gopdebate and not at all focusing on fashion. Follow… https://t.co/dLZnETgGUm"
positive,"@TrumpIssues @realDonaldTrump  #GOPDebate #2016Debate elect Trump, only he and @SarahPalinUSA can save America"
neutral,"RT @SarahHuckabee: ""Reagan said ‘trust but verify.’ Obama 'trusts &amp; vilifies.’ He trusts our enemies &amp; vilifies all who disagrees w him!"" #…"
neutral,Advice to each GOP candidate in order of how I think they finished 10th place Jeb Bush Get a pulse in a hurry #gopdebate #tcot #p2
neutral,RT @Sir_Max: RhondaWatkGwyn: He has the most dedicated Twitter &amp
negative,"RT @JDWinteregg: No GOP POTUS will succeed if conservative reps can't ""vote their districts"" w/o fear of retribution. #FireBoehner #OH8 #GO…"
positive,#MarcoRubio will destroy that sick liar #HillaryClinton in a 1on1 debate if he gets the chance &gt
negative,RT @MikeDrucker: These candidates are against abortion because none of their presidencies are coming to term. #GOPDebate
negative,Now getting to watch #GOPDebate. Rand Paul bad hair Donald Trump worse hair Marco Rubio great hair Chris Christie fat.
negative,"And it was ALOT of ""I know you are but what am I!?"" type of ""comebacks"". I sat there watching almost in disbelief #GOPDebate"
positive,RT @jamalraad: Trump immigration strategy https://t.co/QZMfehR8VF #GOPDebate
positive,#Out Thank u for thoughtful reflection on #GOPDebate. A @FoxNews recovery. Some Trump ques lame BS fluff. Made Megyn look bad.
positive,He was phenomenal! Of course. I knew he would be. 😉 #ImWithHuck #GOPDebate #th2016 #ccot #tcot #teaparty #pjnet https://t.co/OUcmHIyfhz
negative,"RT @TheBaxterBean: GOP Denied $50B Infrastructure, While Pushing $800B Unfunded Tax Cuts For Top 1% http://t.co/dBGqRCrVBF #GOPDebate http:…"
negative,"Rush on #GOPDebate: ""I have never seen this kind of public backlash against Fox News personalities since the network launched in 1997. #tcot"
negative,"RT @DemsAbroad: We're not saying everything they say is crap, we're just saying it looks a whole lot like what our cat ate 45 minutes ago. …"
neutral,Camille Paglia's hilarious review of candidates' performances at #GOPDebate http://t.co/Ahwy1KmdJH
negative,Why do you want people at your wedding whose presence has to be commanded? @realDonaldTrump  @TMP  #GOPDebate  #GodfatherTrump
negative,RT @ShonTony: “@TheDemocrats: #GOPDebate is looking a lot like this: http://t.co/W8UMl4Cyee” #TrumpEffect
negative,RT @Hardline_Stance: 10 million people watched FOX #GOPdebate last nite &amp
negative,"What I learned from the #GOPDebate:
Some guy's dad was a mailman. Jesus Christ is everyone's running mate. The GOP has run out of women."
negative,"No channel to watch now. #CNN is liberal,#FNC &amp; @megynkelly r #RNC hitman #crony . @realDonaldTrump dont join #GOPDebate anymore #GoTrump"
neutral,"Because we are gluttons for punishment, we watched both debates. We may have a few things to say come Sunday. #GOPDebate"
negative,"RT @SharkWeekTunes: When is #FoxNews handing out the Squirt guns?

#GOPDebate

http://t.co/Y2tkjQLMY2"
neutral,"RT @hikergirl425: @AandGShow #GOPDebate 
Couldn't help myself! http://t.co/MQVUzm3v5F"
negative,"Trump proud of misogyny tries to intimidate her. Ugh.
Donald Trump &amp; Megyn Kelly at the Fox News #GOPdebate  http://t.co/PGQBMaRAGr"
negative,RT @Ian56789: Ask which of them is against #TPP job destroying Corporate Power Grab http://t.co/wHN0BLTejf #GOPDebate http://t.co/6giNJlaVI4
neutral,RT @ShannonBream: Generations will look back and think we're barbarians for murdering millions of unborn babies - says @MarcoRubio #GOPdeba…
negative,Here's why it was so frustrating to watch the #GOPDebate as a woman http://t.co/fh5XBOqW87 via @HuffPostWomen
negative,"RT @dagenmcdowell: If you don't want people to think about your weight, then don't style your hair like Bob's Big Boy, Gov. Christie. #GOPD…"
neutral,RT @erikrush: RT @KLSouth: .@JebBush &amp
negative,"Oh Poor,  Trojan Horse Trump pouting because he's a VICTIM Now?? #tcot #ccot #GOPDebate"
negative,"still just baffled at some of the things said last night...I can't believe there's many people who take those assholes seriously.
#GOPDebate"
negative,"@Livestream #GOPDebate as a blogger  the debate was about making sure Donald Trump doesn't pull a Rose Perot, that is how Clinton won"
negative,"""I don't insult women, but the woman who brought it up is a bimbo."" - Trump

#GOPDebate"
neutral,RT @Slate: Who won the #GOPdebate? You tell us! http://t.co/6e0DS9y67b http://t.co/iGcaX6oH21
negative,"Politicians like .@HillaryClinton can accept money 4 campaigns from foreign donors, but Trump can't call someone a ""fat pig."" #GOPDebate #PC"
negative,@megynkelly #GOPDebate What's your thoughts on the comments on your Facebook page concerning #Trump ?s having a Motive behind them
negative,RT @ZoeWentzel: The #GOPDebate got me like... #Hillary2016 http://t.co/zNulwsRGyh
negative,"RT @harikondabolu: Bobby Jindal said ""Immigration without assimilation is invasion."" OH MY GOD, THIS MAN HAS NEVER EATEN GULAB JAMUN. #GOPD…"
negative,".@realDonaldTrump Aww, does him have a sad because he thinks the Fox News reporter was mean during the debate? #GOPDebate #DonaldTrump"
negative,The nerve of Cruz to blame Obamacare on the greedy insurance companies raising their premiums for profit. #GOPDebate
negative,"RT @rajaChristina: Lst nt, #ScottWalker said he'd deny a rape victim n abortion.I guess you can love a fetus and still have no heart. #GOPD…"
positive,"RT @HeatherChilders: 'God has blessed the Rep party with a lot of great candidates, the Dem party cannot even find one"" @marcorubio #GOPDeb…"
negative,"What else is new. Should we pretend to be surprised? ""#GOP @housegop candidates veer from truth"": http://t.co/7ZpGWQrgoS #GOPDebate"
neutral,"Last night's #GOPDebate: what topics merited attention, and which were ignored #GOPtbt http://t.co/y8AQr9oQJY So much for #ClimateChange!"
positive,"RT @KatiePavlich: Donald Trump isn't a Democrat, he isn't a Republican, he's Donald Trump. #GOPdebate"
neutral,RT @seanhannity: .@GovChristie: “I have confidence in the American people that they’re strong enough to hear the truth.” #GOPDebate #Hannity
positive,.@JedediahBila says @marcorubio is a great communicator and it showed last night #outnumbered #StudentsForRubio #GOPDebate
positive,RT @JJRavenation52: @elielcruz @IAmCreeSummer That's the best #GOPDebate tweet. this is better than the actual debate.
neutral,#GOPDebate Donald Trump hates Mexicans? http://t.co/M82sZMxKhI
neutral,@realDonaldTrump: We don’t have time for tone. We have to go out and get the job done. #GOPDebate
neutral,"#InternationalBeerDay  today, GOP debates yesterday. Coincidence or good planning? #GOPDebate #WeAllNeedADrink"
negative,The loser of the #GOPDebate? The Republican Party
negative,"""If I nod a lot when the black guy speaks, I'll look like I'm not an asshole"" @ScottWalker probably. #GOPDebate"
negative,"""When the rich wage war it's the poor who die."" Jean-Paul Sartre 
This is now GOP foreign policy. 
#GOPDebate"
neutral,Zac still hasn't noticed that I unfollowed him during his #GOPDebate tweets
neutral,‘Tell me more about the messages you receive from God!’ #GOPdebate: Of the 10 Republican candidates who partic... http://t.co/Q1U3zQaS38
positive,"RT @Diplomtc_Immnty: @realDonaldTrump They tried to take you out &amp; your poll numbers skyrocketed. Voters matter, not @FOXNews moderators.
#…"
negative,I presume Megyn Kelly spent all night rolling her eyes to make up for all the times she couldn't during #GOPDebate.
neutral,"RT @TrendTopicsUSA: Jacksonville 
1 #GOPDebate
2 #Dominion
3 #JonVoyage
4 #DragMeDownMusicVideo
5 #TheWorstPartOfDepressionIs http://t.co/s…"
positive,"If the #GOP wins in 2016, @JohnKasich would be my hope. Loved what he said about a balanced budget &amp; moving passed gay marriage. #GOPDebate"
neutral,I'll be talking with @CatSzeltner at 6pm and 9pm ET tonight on @EWTNNewsNightly about last night's #GOPDebate @CUANews Tune in!
negative,"@FoxNews intentionally tried to shut @RandPaul out of the debate, 2nd least questions asked, last in speak time. just over 5 mins #GOPDebate"
negative,#Out. Who do you think ur demographic is? Smart women dislike Trump. He was in over his head in #GOPDebate. He has zero policy specifics.
positive,@realDonaldTrump lives to fight another day. Odds seem to ever be in his favor. #GOPDebate #hungergames #DonaldTrump http://t.co/eG6X6onkKT
negative,RT @Diplomtc_Immnty: @MegynKelly tried to take out @realDonaldTrump &amp
positive,RT @libertygirlNH: BOOM! Ted Cruz rocked his closing statement. #GOPDebate b
negative,We wont fund healthcare for our citizens but we will invest millions of dollars to build a wall to keep people out of our country #GOPDebate
positive,RT @MiaHoll18: @BradThor If Mr. Trump runs as an Independent the Republicans can't win either. #GOPDebate
neutral,"Sucking his thumb after the #GOPDebate, @realDonaldTrump said, ""The questions to me were not nice."" #GetOverIt http://t.co/s4c82i0niS"
neutral,RT @tedcruz: RT if you agree it's #ATimeForTruth! #GOPDebate #CruzCrew http://t.co/fK2POhfP7Y
neutral,RT @SharmaRajarshi: FactChecking the GOP Debate Late Edition #GOPdebate @joselouis4077 @seedywumps @bimmerella @FredChristian10 @NaphiSoc h…
negative,"RT @Diplomtc_Immnty: @MegynKelly don't try to take out someone, then whine about it by playing the victim-card after you get owned.
@realDo…"
negative,"Not mentioned in #GOPDebate: voting rights, #climatechange, gun violence, police shootings, student debt, inequality. Duly noted, @RebLeber."
negative,RT @Steve6S: So from what I heard on the #gopdebate last night. A women should be charged for murder if she naturally has a miscarriage.
negative,Fire at @Reince. Fox scut dogs given the job of outing Trump as someone willing to use GOP but with no GOP loyalty? #GOPDebate
negative,I think we should call what #foxnews did to #trump last night the #humptrump campaign. #gopdebate
negative,"Fox to Trump: Your financial practices are a shitty mess. How will you differ as POTUS?

Trump: I won’t. Other people did it too. #GOPDebate"
positive,"RT @sallyjayjohnson: the only candidate to say ""woman"" or ""women"" in that whole two hours was Rubio, talking about women in uniform. #GOPDe…"
negative,@BBCNewsUS @realDonaldTrump Then u need to stop CRYING when you get questions you don't like. Toughen UP! Stop being such a baby #GOPDebate
negative,RT @BernardGoldberg: Does Donald EVER answer a direct question? #GOPDebate
neutral,"Trump &amp; Bush both had twice as much time as Rand Paul to speak during the #GOPdebate 
#TCOT #LNYHBT"
negative,RT @imoore8904: Trump supporters tee hee &amp
negative,In summary #GOPDebate #RSG15 http://t.co/FzNsfGkgOo
positive,"@Nielsen to release ratings this afternoon. The rumor: 10 mil viewers, 16 share.  Making @foxnews undisputed winner of  #GOPdebate #huge"
negative,"how is a #GOPDebate and #InternationalBeerDay ahead of #DragMeDownMusicVideo watch that change in a couple seconds.

#DragMeDownMusicVideo"
positive,"#GOPDebate Reps, aside from Trump and Paul, agree on 90% of everything. IMO the most important consideration is electability vs Clinton"
neutral,"TT:@ MolonLabe1776us: This is how last night should have looked...
megynkelly BretBaier #GOPDebate #TCOT realDonal… http://t.co/wtB0gyXsqV"
positive,"DelilahNoBSzone: RT RedNationRising: Congrats to ALL #GOPDebate candidates -- and to you -- for discussing, tweeti… http://t.co/AuhlNZa3Ww"
negative,TT:@ AriDavidUSA: BREAKING NEWS! Last night during the #GOPDebate megynkelly gained 300lbs and changed her name to… http://t.co/WbeymXHl3C
neutral,Awepra_com: Trump says men wear Trump https://t.co/s9KhGsPVLe #GOPDebate #Trump #Trump2016 #DonaldTrump #Trumpdat… http://t.co/AuhlNZa3Ww
negative,"RT @NadineElhindi: A debate moderator's job is to ask tough questions, NOT to attack the candidates then play the victim. @FoxNews @megynke…"
neutral,"RT @politicoroger: Trump: ""Reporters are a generally dishonest lot."" #GOPDebate"
neutral,Everybody's talking about the #gopdebate and im just here like.... raise! #poker #debatewinner #ALLIN #junkies http://t.co/0kRUoTtxSW
negative,RT @casspa: First candidate to spend $1M and run this GIF in primetime ads gets my vote #GOPDebate http://t.co/dIkwaSJGrs
neutral,This guy gets it. #GOPDebate http://t.co/Y0Bbb6jkPD
negative,sydtrvp: RT BernieSanders: Oh. It was just a movie trailer. #GOPDebate #DebateWithBernie http://t.co/AuhlNZa3Ww
positive,RT @Bnyutu: So @JohnKasich says we should respects all take care of the poor &amp
negative,"TruthTeamOne: The big winner of the #GOPDebate wasn't Scott Walker, it was Johnny Walker. http://t.co/LOdMCzBPe2 http://t.co/AuhlNZa3Ww"
neutral,tyler_batson: #GOPDebate  https://t.co/pD7dbUNNDe http://t.co/AuhlNZa3Ww
negative,@HouseCracka There is a huge difference between battle with foes &amp
neutral,About to go on @WUSA9 for @TheHill to talk #GOPDebate with @abuddy. LOTS TO TALK ABOUT. #Washington #DC
negative,wwahammy: RT JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does … http://t.co/AuhlNZa3Ww
positive,"RT @politicoroger: Trump: ""Our leaders are stupid; our politicians are stupid. The Mexican government is much smarter."" #GOPDebate"
positive,"DuyguOzsoyler: RT comicriffs: #GOPdebate sketches: Ted Cruz, though a famed debate champ, offers an admission: #Cl… http://t.co/AuhlNZa3Ww"
negative,"RightDishonour: The Republicans' problem is not Trump, but the other 16 candidates #GOPDebate
… http://t.co/AuhlNZa3Ww"
positive,sydtrvp: RT BernieSanders: Tom Hanks. Finally. Somebody who makes some sense. #GOPDebate #DebateWithBernie http://t.co/AuhlNZa3Ww
negative,RT @meowmanifesto: weren’t barbaric white men “illegals” when they came here to steal from the natives? #GOPDebate
positive,#DonaldTrump Wins #GOPDebate  https://t.co/mR3eHwanVz
neutral,"tillerylakelady: RT realDonaldTrump: ""stinger_inc: realDonaldTrump  megynkelly's behaviour at the #GOPDebate was a… http://t.co/AuhlNZa3Ww"
positive,"I’ll tell you what. Not only did @CarlyFiorina OWN the first #GOPdebate, she also owned the post debate interviews &gt;&gt; http://t.co/Em1wI3DJPu"
neutral,@MsAJRogers What did you think about the #GOPDebate last night??
neutral,RT @ShannonBullins1: @cassandra17lina Could actually be a democrat trying to help the democrats? #Trump #GOPDebate #Trump2016
negative,"RT @LadyAodh: ""#Diversity"" is a code word for White genocide. #WhiteGenocide #RSR15 #GOPDebate #cuckservative #tcot http://t.co/NSmUx1vsWi"
negative,RT @parkerc2112: #GOPDebate @realDonaldTrump can you imagine this buffoon addressing world leaders?
neutral,Recap the most-tweeted moments from last night’s #GOPdebate: http://t.co/txdtdaET0Q via @gov
positive,RT @SooperMexican: Aww 100% support among cute little Cruz girls RT @TheFriddle: Love this. @tedcruz and his daughters post #GOPDebate http…
negative,@CBSMiami #GOPDebate Is It Not True Extraordinary Allegations Requires What?Here's Proof @POTUS Is A Child Molester http://t.co/Kr55Ae6jUR
negative,I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://t.co/A6lWSN1qeK
negative,RT @AC360: #JebBush made “W” look both eloquent &amp
negative,RT @kingsthings: #GOPdebate included a show of hands like the 1st day of school. We're learning very little. 10 is too many &amp
negative,RT @HollandAutismMN: #GOPdebate @BenCarson2016 #CDCwhistleblower Ben govt fraud shows African American kids exponentially at risk for MMR a…
positive,"RT @EliRubenstein: The consensus is clear, @MarcoRubio dominated last night's debate! Watch some of the highlights: https://t.co/x3j4X8Qm5e…"
positive,"RT @Liz_Wheeler: My girl @CarlyFiorina killed it. She's presidential, wildly intelligent, experienced, sharp, practical, strategic &amp; strong…"
neutral,RT @jacbrew: Interviewed some candidates before the #GOPDebate tonight... more on my YouTube - Woo... (Vine by @woodsie_tv) https://t.co/sM…
negative,RT @OstimusPrime: How I feel about politics #GOPDebate http://t.co/uprwVEI4kR
negative,@HLNTV @TheDailyShare People shouldn't have to watch HLN and Fox News just to try to piece together the whole story. #GOPDebate  #biasnews
negative,The fact that young adults think #ClimateChange is the biggest issue for 2016 Presidential Elections is very scary... #GOPDebate
negative,"After reflecting some more on last night's #GOPDebate, I have decided @FoxNews really dropped the ball. Terrible questions and moderators."
negative,Great new @ScottWalker video. He consistently focused the debate last night on Clinton. #Walker16 #GOPDebate #AndWon https://t.co/DF8uNRiZRr
positive,RT @tuckahoetommy: XM121 today 3-4pm w @JohnFugelsang #TellMeEverything #GOPDebate fun to be with @rickungar @FrankConniff Always a great h…
negative,"“That is nonsense,” Cruz said of what specialists in the region regard as a basic truism. | #GOPDebate | #whatajoke | http://t.co/2fWg54hzq1"
neutral,"RT @SabrinaSiddiqui: “I said be at my wedding, and she came to my wedding,” Donald Trump says of Hillary Clinton. #GOPDebate"
negative,"RT @MsLabuski: #Toughchoices for today's conservative woman: am I a fat pig, an incubator, or just irrelevant? #GOPDebate #GOPmisogyny #bri…"
negative,RT @LoganJames: Kill people and break things #GOPDebate https://t.co/uxNjz8Z4Ms
negative,RT @slackadjuster: I Would Like To Thank All #GOPDebate Candydates Tonight For Proving Why NO ONE Should Ever Vote @gop Again #tcot http://…
neutral,"RT @KatiePavlich: ""There is no such thing as a politically correct war"" -Carson on enhanced interrogation #GOPDebate"
neutral,Thanks @BrucePurple @DaneStrother @ChipFelkel for your input on @OffRoadPolitics on #GOPDebate http://t.co/6OFOA0Hqpa http://t.co/w2kDhDaLEW
positive,RT @AmyMek: Thank you @tedcruz for calling out the #Rhino's in the @GOP and supporting #KateSteinle! #GOPDebate
positive,RT @ScottWalker: Enforce the laws. Secure the border. Use e-verify. Prioritize the American Worker and American wages. #Waker16 #GOPdebate
negative,"The big winner of the #GOPDebate wasn't Scott Walker, it was Johnny Walker. http://t.co/QZOApiEkCy"
negative,RT @JDWinteregg: No GOP POTUS will succeed if the bills that reach his or her desk are watered-down nonsense. #FireBoehner #MakeDCListen #O…
neutral,"RT @comicriffs: #GOPdebate sketches: Ted Cruz, though a famed debate champ, offers an admission: #Cleveland #politics http://t.co/gyuf7VRrsM"
negative,@realDonaldTrump did no good 4 himself w GOP primary voters! Just look @FrankLuntz results! @marcorubio Won the #GOPDebate!@FoxNews #out#
neutral,#GOPDebate Hillary Clinton or Donald Trump!!!! GO!
negative,It was a trainwreck in the truest sense of word. From the painfully awkward opening to the nonsensical answers to questions #GOPDebate
negative,Military bluster at #GOPDebate was sickening. We wasted 1.1 trillion on Iraq War and spend 175m per F-35. We need to cut not militarize more
negative,Cruz is really lying about this healthcare discussion. Wow. #GOPDebate
neutral,"RT @KatiePavlich: We're already seeing difference between Senators and Governors. Senators ""I introduced legislation"" Governors ""We got thi…"
negative,"RT @GOPrincess: BEN CARSON:  Hillary counts on the fact that people are uninformed.  

#GOPdebate. #whatDifferenceDoesItMake"
negative,"RT @Braun23Austin: Enough #GOPDebate! 3,000 light-years away, a dying star known as the Cat Eye Nebula throws off shells of glowing gas! ht…"
negative,The #GOPDebate is actually terrifying. These are real people that could have real power and are bonafide racists and sexists.
negative,"@riley1999 @megynkelly is a closet democrat; actually, after the #GOPDebate she's come out of the closet #KellyFile #KellyFailed"
negative,I suppose you could sell baby parts like #PlannedParenthood and yell about #equality #GOPDebate #tcot #statist ..SMH https://t.co/f7it1d65na
negative,"#Trump getting shit for raising his hand last night! Make ""America"" great again is the slogan! Not ""Republicans!"" #GOPDebate     #13"
negative,Our democracy remains in dire straits cause it aint working as long as they get money for nothing and we get dicks for free #GOPDebate
positive,.@ericbolling we want someone young and a leader who can lead us into the future! #StudentsForRubio #outnumbered #GOPDebate
neutral,"RT @_HankRearden: Some GOP candidates say we need a 'new America,' but in reality we just need the old one back. #GOPDebate  #Trump2016 htt…"
negative,RT @LadyAodh: The anti-white establishment is doing its best to eliminate Whites. #WhiteGenocide #GOPDebate #cuckservative http://t.co/yocu…
neutral,"What are the odds @megynkelly has a fill-in for tonights show? Someone tweet please, won’t be watching. #GOPDebate @FoxNews"
neutral,RT @DeVryGuy: Chris Christie's moose knuckle has my vote. #GOPDebate http://t.co/8LEzrZETaC
negative,RT @savvyliterate: Don’t anyone dare vote for Scott Walker. He would rather let a mother die than concede that he’s wrong about how pregnan…
positive,"@CarlyFiorina is one poised, graceful, and determined woman. I can get behind that any day #GOPDebate"
negative,RT @kuya_joshua: There's gonna be hell toupee if Donald Trump is the nominee. #GOPDebate
negative,RT @tkords: Just finished the #GOPDebate. Two hours of excellent tough questions without a single one being properly answered or addressed.
negative,RT @TPEquality: Gay rights opponent Rick Santorum says during #GOPDebate he supports equality under the law -  http://t.co/XsJbavYifu http:…
negative,RT @MarkDavis: #MegynKelly dogs #BenCarson on some meaningless gaffes.  We're off to a great start. #GOPDebate
neutral,"Before I even get started on the #GOPDebate last night, head over to le #blog to see a #new post! --&gt; http://t.co/OpqAUDGvcv"
negative,@cassandra17lina Could actually be a democrat trying to help the democrats? #Trump #GOPDebate #Trump2016
positive,Lots of positives &amp
positive,My thoughts on the #GOPDebate : YAY.
negative,#Out - @krauthammer is correct. Trump was biggest loser in #GOPDebate. @AndreaTantaros &amp
negative,"RT @TheDailyEdge: Scott Walker: ""We should treat everyone the same in America. Except women, of course."" #GOPDebate http://t.co/jUvKRjrQOT"
neutral,RT @j_a_tucker: Psst! Wanna see the Twitter data from last night’s #GOPDebate? We won’t tell anyone... @monkeycageblog http://t.co/BJq8HSR4…
negative,RT @americnhumanist: Lot of anger in this debate. Where's the compassion? Where's the empathy? #humanism #GOPDebate
neutral,Last thing: Pick someone for who they are not what the media portrays them to be. #GOPDebate
negative,#GOPDebate @realDonaldTrump can you imagine this buffoon addressing world leaders?
neutral,#GOPDebate so #PlannedParenthood is the right's new Big bird.....
negative,Quite something to watch the #GOPDebate vs the Canadian PM debate. How can anyone take American politicians seriously?
negative,"This makes me laugh, it's entertaining. But it doesn't make me want to give my vote to @realDonaldTrump. #GOPDebate  https://t.co/STg5uiBZl5"
neutral,In the spirit of the #GOPDebate. #JoinUsSteve http://t.co/mRRu7B0BBW
negative,Next #GOPDebate #Trump needs to let me do something with that hair!!!!! #fashion
negative,"#GOPDebate ""We got nothing. And Iran gets everything they want."" @GovMikeHuckabee #MarshaMarshaMarsha"
negative,"This prick can call the death of #KateSteinle a ""little thing,"" but Trump can't call someone a dog. #GOPDebate #PC https://t.co/YsI1O5TJ4q"
negative,RT @JensenClan88: This is like if everyone you hate on Facebook had dinner together. #GOPDebate
positive,"Rubio Life begins at conception Well said!
@marcorubio schools @ChrisCuomo http://t.co/InV8kphTr9
Not above Mr. Rubios pay grade
#GOPDebate"
negative,"Kept thinking when #GOP Governors in the #GOPDebate talk about their 'accomplishments', yeah but u FAILED and are unpopular 4 it @bellobass"
positive,"RT @He_Has_Failed: 200,000 votes over at Drudge and Trump is absolutely dominating the #GOPDebate 
#tcot http://t.co/kU0ul7HZQY"
negative,"RT @MaraDolan: Midi Scrum on the #GOPDebate with @Kadzis and @reillyadam, h/t @amandaemcgowan. (I think everyone is sleepy today.) http://t…"
neutral,#GOPDebate in 60 seconds https://t.co/moibjSpUol
positive,Props to @FoxNews for the GREAT questions.  @megynkelly @BretBaier @FoxNewsSunday #GOPDebate
negative,RT @larryelder: Worse than an unprepared candidate is blind support for one. I was pulling for #DonaldTrump. But he needs to raise his game…
negative,@realDonaldTrump childish attacks specifically on @megynkelly you'll never become POTUS. You can mess you a wet dream. #GOPDebate
negative,"RT @HensleywkAo: “@FrankLuntz: I'm getting a lot of @MegynKelly hatemail tonight. 😆

#GOPDebate”.  You were pretty bad too. Your findings w…"
neutral,RT @AmyMek: Freedom is not free we must fight for it every day - Ben Carson #GOPDebate
negative,"They were so busy convincing us of the American Nightmare, they have forgotten to engage us with an American Dream. #GOPDebate"
positive,@BretBaier You were professional and did an excellent job moderating! #GOPDebate @SpecialReport
neutral,The real question should be as president of the USA will you defund #PlannedParenthood #GOPDebate
